antecedents,consequents,confidence
"frozenset({'Q21A', 'Q05D'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q05E'})",frozenset({'ALTA'}),1.0
frozenset({'Q05E'}),"frozenset({'Q12A', 'ALTA'})",0.9341557193207306
"frozenset({'Q21A', 'Q05E'})",frozenset({'ALTA'}),1.0
frozenset({'Q05E'}),"frozenset({'ALTA', 'Q21A'})",0.9922300544697212
"frozenset({'Q09C', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q06B'})",frozenset({'ALTA'}),1.0
frozenset({'Q06B'}),"frozenset({'Q12A', 'ALTA'})",0.9094681597656608
"frozenset({'Q13A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q06B', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17B', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q06B'})",frozenset({'ALTA'}),1.0
frozenset({'Q06B'}),"frozenset({'ALTA', 'Q18A'})",0.842339730876026
"frozenset({'Q19B', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q25E', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q06B', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q06C', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q06C'}),"frozenset({'Q12A', 'ALTA'})",0.9391697787991956
"frozenset({'Q07C', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q07C'}),"frozenset({'Q12A', 'ALTA'})",0.920841980432849
"frozenset({'Q07D', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q07D'}),"frozenset({'Q12A', 'ALTA'})",0.9199072179014872
"frozenset({'Q07D', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q09B', 'Q10A'})",frozenset({'ALTA'}),1.0
frozenset({'Q09B'}),"frozenset({'ALTA', 'Q10A'})",0.878456014362657
"frozenset({'Q12A', 'Q09B'})",frozenset({'ALTA'}),1.0
frozenset({'Q09B'}),"frozenset({'Q12A', 'ALTA'})",0.9012567324955117
"frozenset({'Q09B', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q09B'})",frozenset({'ALTA'}),1.0
frozenset({'Q09B'}),"frozenset({'ALTA', 'Q18A'})",0.856852184320766
"frozenset({'Q09B', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q09B', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q09C'})",frozenset({'ALTA'}),1.0
frozenset({'Q09C'}),"frozenset({'Q12A', 'ALTA'})",0.9109060493227565
"frozenset({'Q09C', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q09C'}),"frozenset({'ALTA', 'Q15A'})",0.8005504290108467
"frozenset({'Q09C', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q09C'}),"frozenset({'ALTA', 'Q18A'})",0.8375694781717122
"frozenset({'Q09C', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q09C', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q10A'})",frozenset({'ALTA'}),1.0
frozenset({'Q10A'}),"frozenset({'Q12A', 'ALTA'})",0.8552486187845304
"frozenset({'Q13A', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q10A'})",frozenset({'ALTA'}),1.0
frozenset({'Q10A'}),"frozenset({'ALTA', 'Q18A'})",0.8485044770432464
"frozenset({'Q19B', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q10A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10E', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q10E'}),"frozenset({'Q12A', 'ALTA'})",0.9476837338906305
"frozenset({'Q10E', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q10E'}),"frozenset({'ALTA', 'Q15A'})",0.8074538488331592
"frozenset({'Q12A', 'Q11A'})",frozenset({'ALTA'}),1.0
frozenset({'Q11A'}),"frozenset({'Q12A', 'ALTA'})",0.8287964626226336
"frozenset({'Q11A', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q11A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q17B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q11A'}),"frozenset({'ALTA', 'Q18A'})",0.8224402376675418
"frozenset({'Q11A', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q11A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q21A'})",frozenset({'ALTA'}),1.0
