antecedents,consequents,confidence
frozenset({'Q09C'}),"frozenset({'Q14A', 'BAIXA'})",0.9684198568669771
"frozenset({'Q09E', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09E'}),"frozenset({'BAIXA', 'Q12A'})",0.9557512619482333
"frozenset({'Q13A', 'Q09E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09E'}),"frozenset({'Q13A', 'BAIXA'})",0.8938889485554721
"frozenset({'Q14A', 'Q09E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09E'}),"frozenset({'Q14A', 'BAIXA'})",0.9865750187949737
"frozenset({'Q09E', 'Q17A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09E'}),"frozenset({'BAIXA', 'Q17A'})",0.8486736118569435
"frozenset({'Q12A', 'Q10A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10A'}),"frozenset({'BAIXA', 'Q12A'})",0.8876636255454184
"frozenset({'Q13A', 'Q10A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q14A', 'Q10A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10A'}),"frozenset({'Q14A', 'BAIXA'})",0.9736612455374852
"frozenset({'Q15A', 'Q10A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q17A', 'Q10A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q18A', 'Q10A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q10A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q12A', 'Q10E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10E'}),"frozenset({'BAIXA', 'Q12A'})",0.9608124743537136
"frozenset({'Q13A', 'Q10E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10E'}),"frozenset({'Q13A', 'BAIXA'})",0.8949528108329914
"frozenset({'Q14A', 'Q10E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10E'}),"frozenset({'Q14A', 'BAIXA'})",0.9822869648474901
"frozenset({'Q15A', 'Q10E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q10E'}),"frozenset({'BAIXA', 'Q15A'})",0.8122691834222404
"frozenset({'Q17A', 'Q10E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q18A', 'Q10E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q21A', 'Q10E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q10E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q11A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11A'}),"frozenset({'BAIXA', 'Q12A'})",0.8135750334740962
"frozenset({'Q14A', 'Q11A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11A'}),"frozenset({'Q14A', 'BAIXA'})",0.9596250901225667
"frozenset({'Q12A', 'Q11B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),"frozenset({'BAIXA', 'Q12A'})",0.9871890462956687
"frozenset({'Q13A', 'Q11B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),"frozenset({'Q13A', 'BAIXA'})",0.9623805327729954
"frozenset({'Q14A', 'Q11B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),"frozenset({'Q14A', 'BAIXA'})",0.9828509455703924
"frozenset({'Q15A', 'Q11B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),"frozenset({'BAIXA', 'Q15A'})",0.9055107435775774
"frozenset({'Q17A', 'Q11B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q18A', 'Q11B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q21A', 'Q11B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q11B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),"frozenset({'BAIXA', 'Q24E'})",0.809801396326171
"frozenset({'Q13A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q13A'}),"frozenset({'BAIXA', 'Q12A'})",0.9659693846435323
frozenset({'Q12A'}),"frozenset({'Q13A', 'BAIXA'})",0.8788215058536314
"frozenset({'Q14A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q14A'}),"frozenset({'BAIXA', 'Q12A'})",0.93010384270729
frozenset({'Q12A'}),"frozenset({'Q14A', 'BAIXA'})",0.9790267990900515
"frozenset({'Q12A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q12A'}),"frozenset({'BAIXA', 'Q15A'})",0.8154580258558508
frozenset({'Q15A'}),"frozenset({'BAIXA', 'Q12A'})",0.9481323785562221
"frozenset({'Q17A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q17A'}),"frozenset({'BAIXA', 'Q12A'})",0.9230998115515588
"frozenset({'Q18A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q18A'}),"frozenset({'BAIXA', 'Q12A'})",0.9264700810484567
"frozenset({'Q19B', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q19B'}),"frozenset({'BAIXA', 'Q12A'})",0.9263467189030362
"frozenset({'Q20A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20A'}),"frozenset({'BAIXA', 'Q12A'})",0.9530014378145218
"frozenset({'Q12A', 'Q20C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20C'}),"frozenset({'BAIXA', 'Q12A'})",0.9216043034570051
"frozenset({'Q21A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21A'}),"frozenset({'BAIXA', 'Q12A'})",0.9357352753289893
"frozenset({'Q21B', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21B'}),"frozenset({'BAIXA', 'Q12A'})",0.9162760416666667
"frozenset({'Q12A', 'Q22B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22B'}),"frozenset({'BAIXA', 'Q12A'})",0.9370100398844725
